episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
440,1.0,3.199864430597028,0.6830172440172919,0.17405474729736647,-17.7,2.23,12,0.0,False,True,0.7912931274035276,1,17.709159380834848,4051.998,prepare,0.0
440,2.0,3.199732793847781,0.6831032114197837,0.18326595495146542,-8.3,1.6,7,0.001,False,True,0.7905513581379279,1,17.709159380834848,4052.067,in_progress,0.0
440,3.0,3.2091361565722254,0.6845023931995284,0.4970444283930682,-8.3,1.6,7,0.001,False,True,0.8436752237405004,1,17.709159380834848,4052.132,in_progress,0.0
440,4.0,3.2328540161977886,0.6813662508683384,-0.3205129018523556,1.3,3.96,4,26.57913153245053,False,True,0.9775649623063548,1,17.709159380834848,4052.201,in_progress,0.0
440,5.0,3.26776859026342,0.6781462885815114,-1.0872772744145986,1.3,3.96,4,26.483639395010123,False,True,1.174692344363614,1,17.709159380834848,4052.26,in_progress,0.0
440,6.0,3.3159017991757604,0.674054114423273,-1.864409723035791,-6.6,2.27,10,0.001,False,True,1.4464550233925482,2,17.709159380834848,4052.337,in_progress,0.0
440,7.0,3.380474958334101,0.6675619910756037,-2.8433673182125183,1.3,3.96,4,26.16840618720433,False,True,1.8111440318532297,2,17.709159380834848,4052.392,in_progress,0.0
440,8.0,3.4607683726575567,0.6564001726781238,-4.454415865052712,1.3,3.96,4,25.801644946561048,False,True,2.2645285217014917,3,17.709159380834848,4052.466,in_progress,0.0
440,9.0,3.5521961012189056,0.6466798819544666,-5.02871822304099,1.3,3.96,4,25.474674512153893,False,True,2.7807587935770104,3,17.709159380834848,4052.532,in_progress,0.0
440,10.0,3.6589731426705168,0.6357257525543047,-5.38253047473463,1.3,3.96,4,25.107437098876574,False,True,3.383688284089354,4,17.709159380834848,4052.6,in_progress,0.0
440,11.0,3.7758132815492416,0.62286553313732,-5.889492688535603,1.3,3.96,4,24.66500597288036,False,True,4.043433459154415,5,17.709159380834848,4052.664,in_progress,0.0
440,12.0,3.925703222705533,0.6067158095920601,-6.035490475491459,1.3,3.96,4,24.087968622904327,False,True,4.889808376721288,6,17.709159380834848,4052.733,in_progress,0.0
440,13.0,4.097782582753245,0.5872020180089551,-6.308978127456549,1.3,3.96,4,23.39037945328748,False,True,5.8614671467043795,7,17.709159380834848,4052.795,in_progress,0.0
440,14.0,4.253671440163231,0.5711608112912036,-6.0965117746261,5.0,2.2,17,0.001,False,True,6.7417041215317095,8,17.709159380834848,4052.861,in_progress,0.0
440,15.0,4.427232663788768,0.5623554212816543,-4.088421952729624,5.0,2.2,17,0.001,False,True,7.721749899462019,9,17.709159380834848,4052.929,in_progress,0.0
440,16.0,4.607034978874233,0.5607665925709056,-1.9651643255101205,1.8,2.8,18,17.932987961169776,False,True,8.737045237221283,10,17.709159380834848,4053.002,in_progress,0.0
440,17.0,4.772387334082639,0.5617662463029636,-0.8702397091139538,-17.7,2.23,12,0.001,False,True,9.670746371040135,11,17.709159380834848,4053.067,in_progress,0.0
440,18.0,4.937459043370599,0.5587649712881334,-1.004732884959084,-17.7,2.23,12,0.001,False,True,10.60286299964588,13,17.709159380834848,4053.135,in_progress,0.0
440,19.0,5.091195170174419,0.5477673147037005,-2.676990768885932,-6.6,2.27,10,20.92108018595221,False,True,11.470983332636331,14,17.709159380834848,4053.195,in_progress,0.0
440,20.0,5.255616406651921,0.5304420367855033,-4.507337522944387,1.8,2.8,18,19.080493020308875,False,True,12.39944555796442,15,17.709159380834848,4053.256,in_progress,0.0
440,21.0,5.415842355841715,0.5105289206363552,-5.94224216474558,11.5,2.29,11,20.44202029178566,False,True,13.304030867989077,16,17.709159380834848,4053.331,in_progress,0.0
440,22.0,5.577510768494841,0.4948617138719465,-5.718874237307114,0.6,4.0,9,8.044643689248737,False,True,14.215812914832796,17,17.709159380834848,4053.4,in_progress,0.0
440,23.0,5.757233295809513,0.48142853586164047,-4.861353058566464,20.9,1.44,5,0.001,False,True,15.23752965255078,18,17.709159380834848,4053.469,in_progress,0.0
440,24.0,5.914873238625098,0.4794300442696563,-2.7432444558556566,20.9,1.44,5,0.001,False,True,16.132049522263394,19,17.709159380834848,4053.53,in_progress,0.0
440,25.0,6.058621807902118,0.4886985984827741,0.5057454704669497,20.9,1.44,5,0.001,False,True,16.91531874449216,20,17.709159380834848,4053.598,in_progress,0.0
440,26.0,6.2032431662678365,0.5105789970364513,4.780891712730137,30.0,1.4,19,0.001,False,True,17.725727251675895,21,17.709159380834848,4053.667,in_progress,0.0
440,27.0,6.32083600641324,0.5411171023600552,9.30331811809819,20.9,1.44,5,0.001,False,True,18.345267734370097,22,17.709159380834848,4053.731,in_progress,0.0
440,28.0,6.428122763950896,0.5840745033723473,14.603973611566436,20.9,1.44,5,0.001,False,True,18.932441268090738,22,17.709159380834848,4053.805,in_progress,0.0
440,29.0,6.530280951574763,0.6405964416036365,20.680541952859848,30.0,1.4,19,0.001,False,True,19.453551374145082,23,17.709159380834848,4053.867,in_progress,0.0
440,30.0,6.609450101639583,0.6960330264148782,25.77140433380011,20.9,1.44,5,0.001,False,True,19.97898645564315,24,17.709159380834848,4053.93,in_progress,0.0
440,31.0,6.687142469898042,0.7602976104081378,30.921200234207674,20.9,1.44,5,0.001,False,True,20.488901419569235,24,17.709159380834848,4053.992,in_progress,0.0
440,32.0,6.756814332287459,0.8293008770160789,35.96080348075173,10.9,2.1,15,26.08606178646902,False,True,21.02212732131698,25,17.709159380834848,4054.065,in_progress,0.0
